id,triples,data_unit,actual,shape,shape_type,local_size,size
198,Harold_French activeYearsStartYear 1920-01-01 English_Without_Tears director Harold_French English_Without_Tears editing Alan_Jaggs English_Without_Tears producer Anatole_de_Grunwald  ,Harold_French activeYearsStartYear 1920-01-01 English_Without_Tears director Harold_French English_Without_Tears editing Alan_Jaggs English_Without_Tears producer Anatole_de_Grunwald ,,(X (X) (X) (X (X))),mixed,1,4
199,English_Without_Tears director Harold_French English_Without_Tears editing Alan_Jaggs English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears producer Anatole_de_Grunwald English_Without_Tears releaseDate 1944-07-28 English_Without_Tears runtime 89.0  ,English_Without_Tears director Harold_French English_Without_Tears editing Alan_Jaggs English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears producer Anatole_de_Grunwald English_Without_Tears releaseDate 1944-07-28 English_Without_Tears runtime 89.0 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
200,Bedford_Aerodrome cityServed Bedford_Autodrome Bedford_Aerodrome icaoLocationIdentifier EGBF Bedford_Aerodrome location Thurleigh Bedford_Aerodrome operatingOrganisation MotorSport_Vision Bedford_Aerodrome runwayLength 1095.0  ,Bedford_Aerodrome cityServed Bedford_Autodrome Bedford_Aerodrome icaoLocationIdentifier EGBF Bedford_Aerodrome location Thurleigh Bedford_Aerodrome operatingOrganisation MotorSport_Vision Bedford_Aerodrome runwayLength 1095.0 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
201,1147_Stavropolis epoch 31 July 2016 (JD2457600.5) 1147_Stavropolis periapsis 260855000000.0  ,1147_Stavropolis epoch 31 July 2016 (JD2457600.5) 1147_Stavropolis periapsis 260855000000.0 ,,(X (X) (X)),sibling,1,2
202,University_of_Burgundy campus Dijon University_of_Burgundy numberOfDoctoralStudents 1299 University_of_Burgundy numberOfStudents 27400 University_of_Burgundy numberOfUndergraduateStudents 16800 University_of_Burgundy staff 2900  ,University_of_Burgundy campus Dijon University_of_Burgundy numberOfDoctoralStudents 1299 University_of_Burgundy numberOfStudents 27400 University_of_Burgundy numberOfUndergraduateStudents 16800 University_of_Burgundy staff 2900 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
203,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore  ","Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology city Bangalore ",,(X (X) (X)),sibling,1,2
204,"Abraham_A._Ribicoff birthPlace United_States Abraham_A._Ribicoff deathPlace United_States United_States ethnicGroup African_Americans Abraham_A._Ribicoff spouse ""Ruth Ribicoff""  ","Abraham_A._Ribicoff birthPlace United_States Abraham_A._Ribicoff deathPlace United_States United_States ethnicGroup African_Americans Abraham_A._Ribicoff spouse ""Ruth Ribicoff"" ",,(X (X) (X (X)) (X (X))),mixed,1,4
205,"Alan_B._Miller_Hall address ""101 Ukrop Way"" Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall buildingStartDate ""30 March 2007"" Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary  ","Alan_B._Miller_Hall address ""101 Ukrop Way"" Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall buildingStartDate ""30 March 2007"" Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary ",,(X (X) (X) (X) (X) (X) (X (X))),mixed,1,7
206,Take_It_Off! genre Noise_rock  ,Take_It_Off! genre Noise_rock ,,(X (X)),,1,1
207,Mermaid_(Train_song) format Music_download  ,Mermaid_(Train_song) format Music_download ,,(X (X)),,1,1
208,Petah_Tikva country Israel  ,Petah_Tikva country Israel ,,(X (X)),,1,1
209,Olga_Bondareva birthDate 1937-04-27  ,Olga_Bondareva birthDate 1937-04-27 ,,(X (X)),,1,1
210,1147_Stavropolis apoapsis 418476000000.0 1147_Stavropolis discovered 1929-06-11 1147_Stavropolis discoverer Grigory_Neujmin 1147_Stavropolis orbitalPeriod 1249.6  ,1147_Stavropolis apoapsis 418476000000.0 1147_Stavropolis discovered 1929-06-11 1147_Stavropolis discoverer Grigory_Neujmin 1147_Stavropolis orbitalPeriod 1249.6 ,,(X (X) (X) (X) (X)),sibling,1,4
211,"Piotr_Hallmann birthPlace Gdynia,_Poland Piotr_Hallmann height 175.26 Gdynia,_Poland timeZone Central_European_Time Gdynia,_Poland timeZone Central_European_Summer_Time  ","Piotr_Hallmann birthPlace Gdynia,_Poland Piotr_Hallmann height 175.26 Gdynia,_Poland timeZone Central_European_Time Gdynia,_Poland timeZone Central_European_Summer_Time ",,(X (X) (X (X) (X))),mixed,1,4
212,Darinka_Dentcheva almaMater Humboldt_University Darinka_Dentcheva knownFor Stochastic_programming Darinka_Dentcheva residence New_Jersey  ,Darinka_Dentcheva almaMater Humboldt_University Darinka_Dentcheva knownFor Stochastic_programming Darinka_Dentcheva residence New_Jersey ,,(X (X) (X) (X)),sibling,1,3
213,Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology sportsOffered Tennis  ,Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology sportsOffered Tennis ,,(X (X) (X) (X)),sibling,1,3
214,German_Empire foundingDate 1871-01-01  ,German_Empire foundingDate 1871-01-01 ,,(X (X)),,1,1
215,MotorSport_Vision city Longfield  ,MotorSport_Vision city Longfield ,,(X (X)),,1,1
216,Mermaid_(Train_song) recordLabel Sony_Music_Entertainment Mermaid_(Train_song) writer Espen_Lind  ,Mermaid_(Train_song) recordLabel Sony_Music_Entertainment Mermaid_(Train_song) writer Espen_Lind ,,(X (X) (X)),sibling,1,2
217,Aleksandr_Prudnikov birthDate 1989-02-24 Aleksandr_Prudnikov club FC_Terek_Grozny Aleksandr_Prudnikov currentclub FC_Amkar_Perm FC_Terek_Grozny ground Grozny Aleksandr_Prudnikov youthclub FC_Spartak_Moscow  ,Aleksandr_Prudnikov birthDate 1989-02-24 Aleksandr_Prudnikov club FC_Terek_Grozny Aleksandr_Prudnikov currentclub FC_Amkar_Perm FC_Terek_Grozny ground Grozny Aleksandr_Prudnikov youthclub FC_Spartak_Moscow ,,(X (X) (X) (X) (X (X))),mixed,1,5
218,Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationMetro 1777539  ,Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala populationMetro 1777539 ,,(X (X) (X)),sibling,1,2
219,"Gdynia,_Poland areaTotal 135000000.0  ","Gdynia,_Poland areaTotal 135000000.0 ",,(X (X)),,1,1
220,It's_Great_to_Be_Young_(1956_film) cinematography Gilbert_Taylor It's_Great_to_Be_Young_(1956_film) starring John_Mills  ,It's_Great_to_Be_Young_(1956_film) cinematography Gilbert_Taylor It's_Great_to_Be_Young_(1956_film) starring John_Mills ,,(X (X) (X)),sibling,1,2
221,Campeonato_Brasileiro_Série_C champions Vila_Nova_Futebol_Clube Agremiação_Sportiva_Arapiraquense ground Estádio_Municipal_Coaracy_da_Mata_Fonseca Agremiação_Sportiva_Arapiraquense league Campeonato_Brasileiro_Série_C Agremiação_Sportiva_Arapiraquense numberOfMembers 17000  ,Campeonato_Brasileiro_Série_C champions Vila_Nova_Futebol_Clube Agremiação_Sportiva_Arapiraquense ground Estádio_Municipal_Coaracy_da_Mata_Fonseca Agremiação_Sportiva_Arapiraquense league Campeonato_Brasileiro_Série_C Agremiação_Sportiva_Arapiraquense numberOfMembers 17000 ,,(X (X) (X) (X (X))),mixed,1,4
222,Abraham_A._Ribicoff birthPlace United_States Abraham_A._Ribicoff spouse Casey_Ribicoff Abraham_A._Ribicoff successor John_N._Dempsey  ,Abraham_A._Ribicoff birthPlace United_States Abraham_A._Ribicoff spouse Casey_Ribicoff Abraham_A._Ribicoff successor John_N._Dempsey ,,(X (X) (X) (X)),sibling,1,3
223,Lady_Anne_Monson birthDate 1726-01-01 Lady_Anne_Monson birthPlace Darlington Lady_Anne_Monson birthPlace Kingdom_of_England Lady_Anne_Monson deathDate 1776-02-18  ,Lady_Anne_Monson birthDate 1726-01-01 Lady_Anne_Monson birthPlace Darlington Lady_Anne_Monson birthPlace Kingdom_of_England Lady_Anne_Monson deathDate 1776-02-18 ,,(X (X) (X) (X) (X)),sibling,1,4
224,"Alan_B._Miller_Hall address ""101 Ukrop Way"" Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall buildingStartDate ""30 March 2007"" Alan_B._Miller_Hall completionDate 2009-06-01 Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia  ","Alan_B._Miller_Hall address ""101 Ukrop Way"" Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall buildingStartDate ""30 March 2007"" Alan_B._Miller_Hall completionDate 2009-06-01 Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia ",,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
225,English_Without_Tears editing Alan_Jaggs English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears releaseDate 1944-07-28 English_Without_Tears runtime 89.0  ,English_Without_Tears editing Alan_Jaggs English_Without_Tears musicComposer Nicholas_Brodszky English_Without_Tears releaseDate 1944-07-28 English_Without_Tears runtime 89.0 ,,(X (X) (X) (X) (X)),sibling,1,4
226,Nurhan_Atasoy birthDate 1934-01-01 Nurhan_Atasoy citizenship Turkey Nurhan_Atasoy nationality Turkish_people Nurhan_Atasoy residence Istanbul  ,Nurhan_Atasoy birthDate 1934-01-01 Nurhan_Atasoy citizenship Turkey Nurhan_Atasoy nationality Turkish_people Nurhan_Atasoy residence Istanbul ,,(X (X) (X) (X) (X)),sibling,1,4
227,"Ciudad_Ayala isPartOf Morelos Morelos leader Adrián_Rivera_Pérez Ciudad_Ayala leaderTitle ""City Manager""  ","Ciudad_Ayala isPartOf Morelos Morelos leader Adrián_Rivera_Pérez Ciudad_Ayala leaderTitle ""City Manager"" ",,(X (X) (X (X))),mixed,1,3
228,English_Without_Tears releaseDate 1944-07-28  ,English_Without_Tears releaseDate 1944-07-28 ,,(X (X)),,1,1
229,Bedford_Aerodrome cityServed Bedford_Autodrome Bedford_Aerodrome location Thurleigh Bedford_Aerodrome operatingOrganisation MotorSport_Vision Bedford_Aerodrome runwayLength 1095.0  ,Bedford_Aerodrome cityServed Bedford_Autodrome Bedford_Aerodrome location Thurleigh Bedford_Aerodrome operatingOrganisation MotorSport_Vision Bedford_Aerodrome runwayLength 1095.0 ,,(X (X) (X) (X) (X)),sibling,1,4
230,ENAIRE city Madrid Adolfo_Suárez_Madrid–Barajas_Airport operatingOrganisation ENAIRE Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0  ,ENAIRE city Madrid Adolfo_Suárez_Madrid–Barajas_Airport operatingOrganisation ENAIRE Adolfo_Suárez_Madrid–Barajas_Airport runwayLength 3500.0 ,,(X (X) (X (X))),mixed,1,3
231,"Adams_County,_Pennsylvania hasToItsSouthwest Frederick_County,_Maryland 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania  ","Adams_County,_Pennsylvania hasToItsSouthwest Frederick_County,_Maryland 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania ",,(X (X (X))),chain,1,2
232,The_Fellowship_of_the_Ring author J._R._R._Tolkien The_Fellowship_of_the_Ring followedBy The_Two_Towers The_Hobbit literaryGenre Juvenile_fantasy The_Hobbit literaryGenre High_fantasy The_Fellowship_of_the_Ring precededBy The_Hobbit  ,The_Fellowship_of_the_Ring author J._R._R._Tolkien The_Fellowship_of_the_Ring followedBy The_Two_Towers The_Hobbit literaryGenre Juvenile_fantasy The_Hobbit literaryGenre High_fantasy The_Fellowship_of_the_Ring precededBy The_Hobbit ,,(X (X) (X) (X (X) (X))),mixed,1,5
233,"Acharya_Institute_of_Technology academicStaffSize ""~500"" Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Visvesvaraya_Technological_University city Belgaum Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" All_India_Council_for_Technical_Education location Mumbai Acharya_Institute_of_Technology wasGivenTheTechnicalCampusStatusBy All_India_Council_for_Technical_Education  ","Acharya_Institute_of_Technology academicStaffSize ""~500"" Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Visvesvaraya_Technological_University city Belgaum Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" All_India_Council_for_Technical_Education location Mumbai Acharya_Institute_of_Technology wasGivenTheTechnicalCampusStatusBy All_India_Council_for_Technical_Education ",,(X (X) (X) (X) (X (X)) (X (X))),mixed,1,7
234,Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology established 2000  ,Acharya_Institute_of_Technology city Bangalore Acharya_Institute_of_Technology established 2000 ,,(X (X) (X)),sibling,1,2
235,Polydor_Records distributingLabel Interscope_Geffen_A&M  ,Polydor_Records distributingLabel Interscope_Geffen_A&M ,,(X (X)),,1,1
236,Expect_a_Miracle precededBy Pools_of_Light_(Brian_Kelly_album) Expect_a_Miracle runtime 54.56  ,Expect_a_Miracle precededBy Pools_of_Light_(Brian_Kelly_album) Expect_a_Miracle runtime 54.56 ,,(X (X) (X)),sibling,1,2
237,"University_of_Cambridge chancellor David_Sainsbury,_Baron_Sainsbury_of_Turville  ","University_of_Cambridge chancellor David_Sainsbury,_Baron_Sainsbury_of_Turville ",,(X (X)),,1,1
238,University_of_Burgundy campus Dijon Dijon country France France governmentType Unitary_state University_of_Burgundy numberOfStudents 27400  ,University_of_Burgundy campus Dijon Dijon country France France governmentType Unitary_state University_of_Burgundy numberOfStudents 27400 ,,(X (X) (X (X (X)))),mixed,1,4
239,Ciudad_Ayala elevationAboveTheSeaLevel 1147.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala utcOffset −6  ,Ciudad_Ayala elevationAboveTheSeaLevel 1147.0 Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala utcOffset −6 ,,(X (X) (X) (X)),sibling,1,3
240,"Alan_B._Miller_Hall address ""101 Ukrop Way"" Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall buildingStartDate ""30 March 2007"" Alan_B._Miller_Hall completionDate 2009-06-01 Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business  ","Alan_B._Miller_Hall address ""101 Ukrop Way"" Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall buildingStartDate ""30 March 2007"" Alan_B._Miller_Hall completionDate 2009-06-01 Mason_School_of_Business country United_States Alan_B._Miller_Hall currentTenants Mason_School_of_Business ",,(X (X) (X) (X) (X) (X (X))),mixed,1,6
241,Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) recordLabel Crucial_Blast Nord_(Year_of_No_Light_album) recordLabel E-Vinyl Nord_(Year_of_No_Light_album) releaseDate 2006-09-06  ,Nord_(Year_of_No_Light_album) genre Post-metal Nord_(Year_of_No_Light_album) recordLabel Crucial_Blast Nord_(Year_of_No_Light_album) recordLabel E-Vinyl Nord_(Year_of_No_Light_album) releaseDate 2006-09-06 ,,(X (X) (X) (X) (X)),sibling,1,4
242,"Bananaman broadcastedBy BBC BBC city Broadcasting_House Bananaman creator Steve_Bright Bananaman lastAired ""1986-04-15""  ","Bananaman broadcastedBy BBC BBC city Broadcasting_House Bananaman creator Steve_Bright Bananaman lastAired ""1986-04-15"" ",,(X (X) (X) (X (X))),mixed,1,4
243,Bionico country Mexico Bionico course Dessert Dessert dishVariation Sandesh_(confectionery)  ,Bionico country Mexico Bionico course Dessert Dessert dishVariation Sandesh_(confectionery) ,,(X (X) (X (X))),mixed,1,3
244,Agremiação_Sportiva_Arapiraquense league Campeonato_Brasileiro_Série_C Agremiação_Sportiva_Arapiraquense season 2015  ,Agremiação_Sportiva_Arapiraquense league Campeonato_Brasileiro_Série_C Agremiação_Sportiva_Arapiraquense season 2015 ,,(X (X) (X)),sibling,1,2
245,Nord_(Year_of_No_Light_album) artist Year_of_No_Light Year_of_No_Light associatedBand/associatedMusicalArtist Monarch_(band)  ,Nord_(Year_of_No_Light_album) artist Year_of_No_Light Year_of_No_Light associatedBand/associatedMusicalArtist Monarch_(band) ,,(X (X (X))),chain,1,2
246,Bionico country Mexico Bionico course Dessert Mexico currency Mexican_peso Mexico demonym Mexicans Bionico ingredient Granola Mexico leader Silvano_Aureoles_Conejo Bionico region Guadalajara  ,Bionico country Mexico Bionico course Dessert Mexico currency Mexican_peso Mexico demonym Mexicans Bionico ingredient Granola Mexico leader Silvano_Aureoles_Conejo Bionico region Guadalajara ,,(X (X) (X) (X) (X (X) (X) (X))),mixed,1,7
247,Aleksandr_Prudnikov club FC_Terek_Grozny Aleksandr_Prudnikov currentclub FC_Amkar_Perm FC_Terek_Grozny ground Grozny FC_Terek_Grozny manager Rashid_Rakhimov Aleksandr_Prudnikov youthclub FC_Spartak_Moscow  ,Aleksandr_Prudnikov club FC_Terek_Grozny Aleksandr_Prudnikov currentclub FC_Amkar_Perm FC_Terek_Grozny ground Grozny FC_Terek_Grozny manager Rashid_Rakhimov Aleksandr_Prudnikov youthclub FC_Spartak_Moscow ,,(X (X) (X) (X (X) (X))),mixed,1,5
248,Harold_French birthPlace UK  ,Harold_French birthPlace UK ,,(X (X)),,1,1
249,Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthDate 1937-04-27 Olga_Bondareva deathDate 1991-12-09  ,Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthDate 1937-04-27 Olga_Bondareva deathDate 1991-12-09 ,,(X (X) (X) (X)),sibling,1,3
250,"Olga_Bondareva birthName ""Olga Nikolaevna Bondareva"" Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva deathDate 1991-12-09 Olga_Bondareva professionalField Economics Olga_Bondareva professionalField Mathematics  ","Olga_Bondareva birthName ""Olga Nikolaevna Bondareva"" Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva deathDate 1991-12-09 Olga_Bondareva professionalField Economics Olga_Bondareva professionalField Mathematics ",,(X (X) (X) (X) (X) (X)),sibling,1,5
251,Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology numberOfPostgraduateStudents 700  ,Acharya_Institute_of_Technology affiliation Visvesvaraya_Technological_University Acharya_Institute_of_Technology numberOfPostgraduateStudents 700 ,,(X (X) (X)),sibling,1,2
252,Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground The_Velvet_Underground formerBandMember Lou_Reed Universal_Music_Group parentCompany Vivendi Bootleg_Series_Volume_1:_The_Quine_Tapes recordLabel Universal_Music_Group  ,Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground The_Velvet_Underground formerBandMember Lou_Reed Universal_Music_Group parentCompany Vivendi Bootleg_Series_Volume_1:_The_Quine_Tapes recordLabel Universal_Music_Group ,,(X (X (X)) (X (X))),mixed,1,4
253,Lionsgate service Broadcast_programming  ,Lionsgate service Broadcast_programming ,,(X (X)),,1,1
254,"Ciudad_Ayala country Mexico Mexico leaderTitle ""President of the Chamber of Deputies"" Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala utcOffset −6  ","Ciudad_Ayala country Mexico Mexico leaderTitle ""President of the Chamber of Deputies"" Ciudad_Ayala populationDensity 1604.0 Ciudad_Ayala utcOffset −6 ",,(X (X) (X) (X (X))),mixed,1,4
255,University_of_Burgundy city Dijon University_of_Burgundy country France University_of_Burgundy numberOfPostgraduateStudents 9400  ,University_of_Burgundy city Dijon University_of_Burgundy country France University_of_Burgundy numberOfPostgraduateStudents 9400 ,,(X (X) (X) (X)),sibling,1,3
256,Lady_Anne_Monson birthPlace Kingdom_of_England Lady_Anne_Monson deathDate 1776-02-18 Lady_Anne_Monson nationality Kingdom_of_England  ,Lady_Anne_Monson birthPlace Kingdom_of_England Lady_Anne_Monson deathDate 1776-02-18 Lady_Anne_Monson nationality Kingdom_of_England ,,(X (X) (X) (X)),sibling,1,3
257,Brandon_Carter almaMater University_of_Cambridge Brandon_Carter birthDate 1942-01-01 Brandon_Carter birthPlace England Brandon_Carter doctoralAdvisor Dennis_William_Sciama Brandon_Carter knownFor Anthropic_principle Brandon_Carter knownFor Doomsday_argument  ,Brandon_Carter almaMater University_of_Cambridge Brandon_Carter birthDate 1942-01-01 Brandon_Carter birthPlace England Brandon_Carter doctoralAdvisor Dennis_William_Sciama Brandon_Carter knownFor Anthropic_principle Brandon_Carter knownFor Doomsday_argument ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
258,The_Fellowship_of_the_Ring author J._R._R._Tolkien The_Fellowship_of_the_Ring followedBy The_Two_Towers The_Fellowship_of_the_Ring precededBy The_Hobbit The_Fellowship_of_the_Ring releaseDate 1954-07-29  ,The_Fellowship_of_the_Ring author J._R._R._Tolkien The_Fellowship_of_the_Ring followedBy The_Two_Towers The_Fellowship_of_the_Ring precededBy The_Hobbit The_Fellowship_of_the_Ring releaseDate 1954-07-29 ,,(X (X) (X) (X) (X)),sibling,1,4
259,"Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva deathDate 1991-12-09 Olga_Bondareva knownFor Bondareva–Shapley_theorem  ","Olga_Bondareva almaMater Leningrad_State_University Olga_Bondareva birthPlace Leningrad,_USSR Olga_Bondareva deathDate 1991-12-09 Olga_Bondareva knownFor Bondareva–Shapley_theorem ",,(X (X) (X) (X) (X)),sibling,1,4
260,Mermaid_(Train_song) recordLabel Columbia_Records Mermaid_(Train_song) recordLabel Sony_Music_Entertainment  ,Mermaid_(Train_song) recordLabel Columbia_Records Mermaid_(Train_song) recordLabel Sony_Music_Entertainment ,,(X (X) (X)),sibling,1,2
261,Liselotte_Grschebina birthPlace German_Empire Liselotte_Grschebina deathDate 1994-06-14 Liselotte_Grschebina nationality Israel  ,Liselotte_Grschebina birthPlace German_Empire Liselotte_Grschebina deathDate 1994-06-14 Liselotte_Grschebina nationality Israel ,,(X (X) (X) (X)),sibling,1,3
262,"Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology established 2000 All_India_Council_for_Technical_Education location Mumbai Acharya_Institute_of_Technology wasGivenTheTechnicalCampusStatusBy All_India_Council_for_Technical_Education  ","Acharya_Institute_of_Technology campus ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090."" Acharya_Institute_of_Technology country ""India"" Acharya_Institute_of_Technology director ""Dr. G. P. Prabhukumar"" Acharya_Institute_of_Technology established 2000 All_India_Council_for_Technical_Education location Mumbai Acharya_Institute_of_Technology wasGivenTheTechnicalCampusStatusBy All_India_Council_for_Technical_Education ",,(X (X) (X) (X) (X) (X (X))),mixed,1,6
263,Istanbul timeZone Eastern_European_Time  ,Istanbul timeZone Eastern_European_Time ,,(X (X)),,1,1
264,Stargate_(production_team) associatedBand/associatedMusicalArtist Benny_Blanco Stargate_(production_team) associatedBand/associatedMusicalArtist Michael_Jackson Mermaid_(Train_song) writer Espen_Lind Mermaid_(Train_song) writer Stargate_(production_team)  ,Stargate_(production_team) associatedBand/associatedMusicalArtist Benny_Blanco Stargate_(production_team) associatedBand/associatedMusicalArtist Michael_Jackson Mermaid_(Train_song) writer Espen_Lind Mermaid_(Train_song) writer Stargate_(production_team) ,,(X (X) (X (X) (X))),mixed,1,4
265,Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary  ,Alan_B._Miller_Hall architect Robert_A._M._Stern Alan_B._Miller_Hall currentTenants Mason_School_of_Business Alan_B._Miller_Hall location Virginia Alan_B._Miller_Hall owner College_of_William_&_Mary ,,(X (X) (X) (X) (X)),sibling,1,4
266,"Bedford_Aerodrome elevationAboveTheSeaLevel 83.2104 Bedford_Aerodrome icaoLocationIdentifier EGBF Bedford_Aerodrome runwayName ""08/26""  ","Bedford_Aerodrome elevationAboveTheSeaLevel 83.2104 Bedford_Aerodrome icaoLocationIdentifier EGBF Bedford_Aerodrome runwayName ""08/26"" ",,(X (X) (X) (X)),sibling,1,3
267,MotorSport_Vision foundingYear 2004  ,MotorSport_Vision foundingYear 2004 ,,(X (X)),,1,1
268,Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground Bootleg_Series_Volume_1:_The_Quine_Tapes producer The_Velvet_Underground Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States  ,Bootleg_Series_Volume_1:_The_Quine_Tapes artist The_Velvet_Underground Bootleg_Series_Volume_1:_The_Quine_Tapes producer The_Velvet_Underground Bootleg_Series_Volume_1:_The_Quine_Tapes recordedIn United_States ,,(X (X) (X) (X)),sibling,1,3
269,"11th_Mississippi_Infantry_Monument category Contributing_property 11th_Mississippi_Infantry_Monument country ""United States"" 11th_Mississippi_Infantry_Monument established 2000 Adams_County,_Pennsylvania hasToItsNorth Cumberland_County,_Pennsylvania Adams_County,_Pennsylvania hasToItsSoutheast Carroll_County,_Maryland Adams_County,_Pennsylvania hasToItsWest Franklin_County,_Pennsylvania 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania  ","11th_Mississippi_Infantry_Monument category Contributing_property 11th_Mississippi_Infantry_Monument country ""United States"" 11th_Mississippi_Infantry_Monument established 2000 Adams_County,_Pennsylvania hasToItsNorth Cumberland_County,_Pennsylvania Adams_County,_Pennsylvania hasToItsSoutheast Carroll_County,_Maryland Adams_County,_Pennsylvania hasToItsWest Franklin_County,_Pennsylvania 11th_Mississippi_Infantry_Monument location Adams_County,_Pennsylvania ",,(X (X) (X) (X) (X (X) (X) (X))),mixed,1,7
270,University_of_Burgundy campus Dijon University_of_Burgundy city Dijon  ,University_of_Burgundy campus Dijon University_of_Burgundy city Dijon ,,(X (X) (X)),sibling,1,2
271,Turn_Me_On_(album) artist The_Honeymoon_Killers_(American_band) Turn_Me_On_(album) genre Punk_blues Turn_Me_On_(album) genre Noise_rock Turn_Me_On_(album) producer The_Honeymoon_Killers_(American_band) Turn_Me_On_(album) producer Wharton_Tiers Turn_Me_On_(album) runtime 35.1  ,Turn_Me_On_(album) artist The_Honeymoon_Killers_(American_band) Turn_Me_On_(album) genre Punk_blues Turn_Me_On_(album) genre Noise_rock Turn_Me_On_(album) producer The_Honeymoon_Killers_(American_band) Turn_Me_On_(album) producer Wharton_Tiers Turn_Me_On_(album) runtime 35.1 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
