id,triples,data_unit,actual,shape,shape_type,local_size,size
152,"Alyaksandar_Lukhvich birthDate ""30_March_2007"" Alyaksandar_Lukhvich birthPlace Karlsruhe Alyaksandar_Lukhvich birthPlace Hungarian_Soviet_Republic Alyaksandar_Lukhvich deathDate 1942-01-01 Alyaksandar_Lukhvich deathPlace France Alyaksandar_Lukhvich nationality France Alyaksandar_Lukhvich professionalField anesthesia_technician_assistant  ","Alyaksandar_Lukhvich birthDate ""30_March_2007"" Alyaksandar_Lukhvich birthPlace Karlsruhe Alyaksandar_Lukhvich birthPlace Hungarian_Soviet_Republic Alyaksandar_Lukhvich deathDate 1942-01-01 Alyaksandar_Lukhvich deathPlace France Alyaksandar_Lukhvich nationality France Alyaksandar_Lukhvich professionalField anesthesia_technician_assistant ",,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
153,University_of_Technology_of_Troyes campus Blanot University_of_Technology_of_Troyes city Blanot University_of_Technology_of_Troyes numberOfDoctoralStudents 1513 University_of_Technology_of_Troyes numberOfStudents 387.63 University_of_Technology_of_Troyes numberOfUndergraduateStudents 1095.0 University_of_Technology_of_Troyes staff 282838.0  ,University_of_Technology_of_Troyes campus Blanot University_of_Technology_of_Troyes city Blanot University_of_Technology_of_Troyes numberOfDoctoralStudents 1513 University_of_Technology_of_Troyes numberOfStudents 387.63 University_of_Technology_of_Troyes numberOfUndergraduateStudents 1095.0 University_of_Technology_of_Troyes staff 282838.0 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
154,Cusseta areaCode 1006  ,Cusseta areaCode 1006 ,,(X (X)),,1,1
155,Bionico country Israel Israel currency papal_lira Israel demonym Brusselians Bionico ingredient Granola Bionico region Morelos  ,Bionico country Israel Israel currency papal_lira Israel demonym Brusselians Bionico ingredient Granola Bionico region Morelos ,,(X (X) (X) (X (X) (X))),mixed,1,5
156,Rosa_Roth broadcastedBy car2go car2go city Broadcasting_House_Dornbusch Rosa_Roth creator Stacy_Katzman Rosa_Roth lastAired 1946-12-17 Rosa_Roth starring Bruce_Matthews  ,Rosa_Roth broadcastedBy car2go car2go city Broadcasting_House_Dornbusch Rosa_Roth creator Stacy_Katzman Rosa_Roth lastAired 1946-12-17 Rosa_Roth starring Bruce_Matthews ,,(X (X) (X) (X) (X (X))),mixed,1,5
157,Nína_Tryggvadóttir almaMater Bielefeld_University Nína_Tryggvadóttir influencedBy Friedrich_Kettler Nína_Tryggvadóttir knownFor Stochastic_programming Nína_Tryggvadóttir residence California Nína_Tryggvadóttir residence Israel  ,Nína_Tryggvadóttir almaMater Bielefeld_University Nína_Tryggvadóttir influencedBy Friedrich_Kettler Nína_Tryggvadóttir knownFor Stochastic_programming Nína_Tryggvadóttir residence California Nína_Tryggvadóttir residence Israel ,,(X (X) (X) (X) (X) (X)),sibling,1,5
158,Russian_Women's_Football_Championship country Turkey Kidsgrove_Athletic_F.C. ground Estadio_Once_de_Noviembre Kidsgrove_Athletic_F.C. league Russian_Women's_Football_Championship Estadio_Once_de_Noviembre location Cajari Kidsgrove_Athletic_F.C. season 1892  ,Russian_Women's_Football_Championship country Turkey Kidsgrove_Athletic_F.C. ground Estadio_Once_de_Noviembre Kidsgrove_Athletic_F.C. league Russian_Women's_Football_Championship Estadio_Once_de_Noviembre location Cajari Kidsgrove_Athletic_F.C. season 1892 ,,(X (X) (X (X)) (X (X))),mixed,1,5
159,7digital industry health_technology_assessment  ,7digital industry health_technology_assessment ,,(X (X)),,1,1
160,March_of_Millions director Benedict_XV March_of_Millions musicComposer Richard_Bona March_of_Millions runtime 70.308  ,March_of_Millions director Benedict_XV March_of_Millions musicComposer Richard_Bona March_of_Millions runtime 70.308 ,,(X (X) (X) (X)),sibling,1,3
161,Karl_Witzell almaMater University_of_Cologne Karl_Witzell birthDate 1908-05-02 Karl_Witzell citizenship Israel Karl_Witzell influencedBy A._P._J._Abdul_Kalam Karl_Witzell knownFor Stochastic_programming Karl_Witzell professionalField Mathematical_optimization Karl_Witzell residence New_Hampshire  ,Karl_Witzell almaMater University_of_Cologne Karl_Witzell birthDate 1908-05-02 Karl_Witzell citizenship Israel Karl_Witzell influencedBy A._P._J._Abdul_Kalam Karl_Witzell knownFor Stochastic_programming Karl_Witzell professionalField Mathematical_optimization Karl_Witzell residence New_Hampshire ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
162,Bionico country Israel Bionico course Supersize Israel currency Fribourg_frank Bionico ingredient dried_cherry  ,Bionico country Israel Bionico course Supersize Israel currency Fribourg_frank Bionico ingredient dried_cherry ,,(X (X) (X) (X (X))),mixed,1,4
163,Loring_Christie activeYearsStartYear 1589 Loring_Christie associatedBand/associatedMusicalArtist morning Loring_Christie genre deathcore Loring_Christie origin Mexico  ,Loring_Christie activeYearsStartYear 1589 Loring_Christie associatedBand/associatedMusicalArtist morning Loring_Christie genre deathcore Loring_Christie origin Mexico ,,(X (X) (X) (X) (X)),sibling,1,4
164,"1116_Catriona absoluteMagnitude 324720797 1116_Catriona apoapsis 0711905 1116_Catriona discovered ""1923-11-18"" 1116_Catriona discoverer Tapio_Räisänen  ","1116_Catriona absoluteMagnitude 324720797 1116_Catriona apoapsis 0711905 1116_Catriona discovered ""1923-11-18"" 1116_Catriona discoverer Tapio_Räisänen ",,(X (X) (X) (X) (X)),sibling,1,4
165,Novonor city Ali_Chuk Brazil leader Clive_Sarstedt Novonor regionServed Brazil Ali_Chuk type Bloomfield  ,Novonor city Ali_Chuk Brazil leader Clive_Sarstedt Novonor regionServed Brazil Ali_Chuk type Bloomfield ,,(X (X (X)) (X (X))),mixed,1,4
166,"Dadabhai_Naoroji almaMater War_College Dadabhai_Naoroji birthDate 1726-01-01 Dadabhai_Naoroji birthPlace ""Pennsylvania"" Dadabhai_Naoroji deathDate 1920-01-01 Dadabhai_Naoroji deathPlace New_Hampshire Dadabhai_Naoroji nationality Brazil  ","Dadabhai_Naoroji almaMater War_College Dadabhai_Naoroji birthDate 1726-01-01 Dadabhai_Naoroji birthPlace ""Pennsylvania"" Dadabhai_Naoroji deathDate 1920-01-01 Dadabhai_Naoroji deathPlace New_Hampshire Dadabhai_Naoroji nationality Brazil ",,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
167,HTM_Personenvervoer location Israel  ,HTM_Personenvervoer location Israel ,,(X (X)),,1,1
168,1111_Reinmuthia apoapsis 10252 1111_Reinmuthia discoverer Gladwyn_Jebb 1111_Reinmuthia orbitalPeriod 98.0  ,1111_Reinmuthia apoapsis 10252 1111_Reinmuthia discoverer Gladwyn_Jebb 1111_Reinmuthia orbitalPeriod 98.0 ,,(X (X) (X) (X)),sibling,1,3
169,Georg_Simon_Ohm birthYear 1776-02-18  ,Georg_Simon_Ohm birthYear 1776-02-18 ,,(X (X)),,1,1
170,Delta_Valley_and_Southern_50 engine Yamaha_OX66_engine Delta_Valley_and_Southern_50 length 185.0_(centimetres) Delta_Valley_and_Southern_50 powerType Diesel-electric_transmission  ,Delta_Valley_and_Southern_50 engine Yamaha_OX66_engine Delta_Valley_and_Southern_50 length 185.0_(centimetres) Delta_Valley_and_Southern_50 powerType Diesel-electric_transmission ,,(X (X) (X) (X)),sibling,1,3
171,chacarera stylisticOrigin maxixe  ,chacarera stylisticOrigin maxixe ,,(X (X)),,1,1
172,Jacqueline_Cochran club Sporting_CP Kent_Football_United_F.C. ground Stade_de_France Sporting_CP manager Adam_de_la_Halle Jacqueline_Cochran youthclub Kent_Football_United_F.C.  ,Jacqueline_Cochran club Sporting_CP Kent_Football_United_F.C. ground Stade_de_France Sporting_CP manager Adam_de_la_Halle Jacqueline_Cochran youthclub Kent_Football_United_F.C. ,,(X (X (X)) (X (X))),mixed,1,4
173,San_Antonio_de_Itatí country United_States San_Antonio_de_Itatí elevationAboveTheSeaLevel 418476000000.0 San_Antonio_de_Itatí isPartOf Jalisco San_Antonio_de_Itatí populationDensity 17000 San_Antonio_de_Itatí populationMetro 21000 San_Antonio_de_Itatí timeZone UTC+01:00  ,San_Antonio_de_Itatí country United_States San_Antonio_de_Itatí elevationAboveTheSeaLevel 418476000000.0 San_Antonio_de_Itatí isPartOf Jalisco San_Antonio_de_Itatí populationDensity 17000 San_Antonio_de_Itatí populationMetro 21000 San_Antonio_de_Itatí timeZone UTC+01:00 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
174,Benoît_Potier birthPlace Yunnan  ,Benoît_Potier birthPlace Yunnan ,,(X (X)),,1,1
175,Tours_University numberOfUndergraduateStudents 35.1 Tours_University staff 98.0  ,Tours_University numberOfUndergraduateStudents 35.1 Tours_University staff 98.0 ,,(X (X) (X)),sibling,1,2
176,grindcore instrument Alpenglocken  ,grindcore instrument Alpenglocken ,,(X (X)),,1,1
177,"Hans_Richter birthDate 1994-06-14 Hans_Richter birthPlace California Hans_Richter deathPlace Michigan Hans_Richter nationality ""United_States""  ","Hans_Richter birthDate 1994-06-14 Hans_Richter birthPlace California Hans_Richter deathPlace Michigan Hans_Richter nationality ""United_States"" ",,(X (X) (X) (X) (X)),sibling,1,4
178,Álvaro_Aparicio club West_Didsbury_and_Chorlton_A.F.C. West_Didsbury_and_Chorlton_A.F.C. manager Amitabh_Bachchan Álvaro_Aparicio youthclub Blyth_Spartans_A.F.C.  ,Álvaro_Aparicio club West_Didsbury_and_Chorlton_A.F.C. West_Didsbury_and_Chorlton_A.F.C. manager Amitabh_Bachchan Álvaro_Aparicio youthclub Blyth_Spartans_A.F.C. ,,(X (X) (X (X))),mixed,1,3
179,"Bedford_College affiliation Kinnaird_College_for_Women Bedford_College campus ""Ruth_Ribicoff"" SWIFT location Rio_de_Janeiro Bedford_College sportsOffered floorball Bedford_College wasGivenTheTechnicalCampusStatusBy SWIFT  ","Bedford_College affiliation Kinnaird_College_for_Women Bedford_College campus ""Ruth_Ribicoff"" SWIFT location Rio_de_Janeiro Bedford_College sportsOffered floorball Bedford_College wasGivenTheTechnicalCampusStatusBy SWIFT ",,(X (X) (X) (X) (X (X))),mixed,1,5
180,Alte_Kommandantur currentTenants Doshisha_Business_School Alte_Kommandantur location Chesapeake Alte_Kommandantur owner University_of_Kansas  ,Alte_Kommandantur currentTenants Doshisha_Business_School Alte_Kommandantur location Chesapeake Alte_Kommandantur owner University_of_Kansas ,,(X (X) (X) (X)),sibling,1,3
181,Deux-Nèthes genre synth-punk  ,Deux-Nèthes genre synth-punk ,,(X (X)),,1,1
182,Mermaid_(Train_song) genre dance-pop Mermaid_(Train_song) genre jazz_rap jazz_rap stylisticOrigin Tswana_music dance-pop stylisticOrigin Ruba'i  ,Mermaid_(Train_song) genre dance-pop Mermaid_(Train_song) genre jazz_rap jazz_rap stylisticOrigin Tswana_music dance-pop stylisticOrigin Ruba'i ,,(X (X (X)) (X (X))),mixed,1,4
183,Wolfgang_Schäuble birthPlace Turkey Wolfgang_Schäuble inOfficeWhilePresident Juan_Manuel_Fangio Wolfgang_Schäuble nationality Antwerpians Wolfgang_Schäuble spouse Casey_Ribicoff Wolfgang_Schäuble successor John_F._Kennedy  ,Wolfgang_Schäuble birthPlace Turkey Wolfgang_Schäuble inOfficeWhilePresident Juan_Manuel_Fangio Wolfgang_Schäuble nationality Antwerpians Wolfgang_Schäuble spouse Casey_Ribicoff Wolfgang_Schäuble successor John_F._Kennedy ,,(X (X) (X) (X) (X) (X)),sibling,1,5
184,The_A_Team genre melodic_death_metal The_A_Team genre old_classical_vocal_polyphony The_A_Team precededBy Laut_Gedacht The_A_Team runtime 94.0  ,The_A_Team genre melodic_death_metal The_A_Team genre old_classical_vocal_polyphony The_A_Team precededBy Laut_Gedacht The_A_Team runtime 94.0 ,,(X (X) (X) (X) (X)),sibling,1,4
185,Mermaid_(Train_song) genre adult_contemporary_music Mermaid_(Train_song) musicalBand sociable Mermaid_(Train_song) runtime 83.0  ,Mermaid_(Train_song) genre adult_contemporary_music Mermaid_(Train_song) musicalBand sociable Mermaid_(Train_song) runtime 83.0 ,,(X (X) (X) (X)),sibling,1,3
186,Mermaid_(Train_song) releaseDate 2001-10-16  ,Mermaid_(Train_song) releaseDate 2001-10-16 ,,(X (X)),,1,1
187,LADA_Priora bodyStyle convertible  ,LADA_Priora bodyStyle convertible ,,(X (X)),,1,1
188,Linda_Lovelace birthDate 1726-01-01 Linda_Lovelace club FC_Dinamo_Moscow Linda_Lovelace currentclub FC_Dinamo_Moscow Linda_Lovelace youthclub Lutterworth_Athletic_F.C.  ,Linda_Lovelace birthDate 1726-01-01 Linda_Lovelace club FC_Dinamo_Moscow Linda_Lovelace currentclub FC_Dinamo_Moscow Linda_Lovelace youthclub Lutterworth_Athletic_F.C. ,,(X (X) (X) (X) (X)),sibling,1,4
189,Veteranz'_Day cinematography Ptolemy_IX_Lathyros Veteranz'_Day gross 2000000.0 Veteranz'_Day musicComposer Ferry_Carondelet Veteranz'_Day runtime 1095.0 Veteranz'_Day starring Björn_Otto  ,Veteranz'_Day cinematography Ptolemy_IX_Lathyros Veteranz'_Day gross 2000000.0 Veteranz'_Day musicComposer Ferry_Carondelet Veteranz'_Day runtime 1095.0 Veteranz'_Day starring Björn_Otto ,,(X (X) (X) (X) (X) (X)),sibling,1,5
190,Music_of_The_Lord_of_the_Rings_film_series musicComposer Laura_Berg Music_of_The_Lord_of_the_Rings_film_series starring Simon_Lohet Music_of_The_Lord_of_the_Rings_film_series writer François_Mitterrand  ,Music_of_The_Lord_of_the_Rings_film_series musicComposer Laura_Berg Music_of_The_Lord_of_the_Rings_film_series starring Simon_Lohet Music_of_The_Lord_of_the_Rings_film_series writer François_Mitterrand ,,(X (X) (X) (X)),sibling,1,3
191,Wanli_Emperor birthDate 1994-06-14 Wanli_Emperor citizenship France Wanli_Emperor residence Lubumbashi  ,Wanli_Emperor birthDate 1994-06-14 Wanli_Emperor citizenship France Wanli_Emperor residence Lubumbashi ,,(X (X) (X) (X)),sibling,1,3
192,Patricio_Aylwin birthPlace A.C._ChievoVerona Beakman's_World broadcastedBy Konica_Minolta Konica_Minolta city Broadcasting_House_Dornbusch Beakman's_World firstAired 1726-01-01 Beakman's_World starring Patricio_Aylwin  ,Patricio_Aylwin birthPlace A.C._ChievoVerona Beakman's_World broadcastedBy Konica_Minolta Konica_Minolta city Broadcasting_House_Dornbusch Beakman's_World firstAired 1726-01-01 Beakman's_World starring Patricio_Aylwin ,,(X (X) (X (X)) (X (X))),mixed,1,5
193,Taichang_Emperor height 9400 Taichang_Emperor weight 3500.0  ,Taichang_Emperor height 9400 Taichang_Emperor weight 3500.0 ,,(X (X) (X)),sibling,1,2
194,CFB_Bagotville operatingOrganisation Aviation_and_Air_Defence_Command_of_the_Defence_Forces_of_Georgia CFB_Bagotville runwayLength 3.16  ,CFB_Bagotville operatingOrganisation Aviation_and_Air_Defence_Command_of_the_Defence_Forces_of_Georgia CFB_Bagotville runwayLength 3.16 ,,(X (X) (X)),sibling,1,2
195,Mermaid_(Train_song) followedBy Allegro_Film Allegro_Film followedBy In_a_Reverie Mermaid_(Train_song) genre pop-punk  ,Mermaid_(Train_song) followedBy Allegro_Film Allegro_Film followedBy In_a_Reverie Mermaid_(Train_song) genre pop-punk ,,(X (X) (X (X))),mixed,1,3
196,Françoise_Sagan birthPlace Israel Israel governmentType white_ethnostate Israel percentageOfAreaWater 89.0 Françoise_Sagan residence Yangquan Françoise_Sagan residence Israel  ,Françoise_Sagan birthPlace Israel Israel governmentType white_ethnostate Israel percentageOfAreaWater 89.0 Françoise_Sagan residence Yangquan Françoise_Sagan residence Israel ,,(X (X) (X (X) (X)) (X (X) (X))),mixed,1,5
197,Collision_Course producer Rudimental  ,Collision_Course producer Rudimental ,,(X (X)),,1,1
198,Carlos_Henrique_dos_Santos_Souza activeYearsStartYear 1937-04-27 Flight_from_Ashiya director Carlos_Henrique_dos_Santos_Souza Flight_from_Ashiya editing Katarina_Ivanovska Flight_from_Ashiya producer Sachin_Tendulkar  ,Carlos_Henrique_dos_Santos_Souza activeYearsStartYear 1937-04-27 Flight_from_Ashiya director Carlos_Henrique_dos_Santos_Souza Flight_from_Ashiya editing Katarina_Ivanovska Flight_from_Ashiya producer Sachin_Tendulkar ,,(X (X) (X) (X (X))),mixed,1,4
199,Elisa_vida_mía director Sophie_Lamon Elisa_vida_mía editing Erich_Honecker Elisa_vida_mía musicComposer Huang_Zongxi Elisa_vida_mía producer Caroline_Lucas Elisa_vida_mía releaseDate 2001-10-16 Elisa_vida_mía runtime 1147.0  ,Elisa_vida_mía director Sophie_Lamon Elisa_vida_mía editing Erich_Honecker Elisa_vida_mía musicComposer Huang_Zongxi Elisa_vida_mía producer Caroline_Lucas Elisa_vida_mía releaseDate 2001-10-16 Elisa_vida_mía runtime 1147.0 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
200,Mwanza_Airport cityServed Rudskogen Mwanza_Airport icaoLocationIdentifier Warnervale_Airport Mwanza_Airport location Primorsky Mwanza_Airport operatingOrganisation Sega Mwanza_Airport runwayLength 0004319  ,Mwanza_Airport cityServed Rudskogen Mwanza_Airport icaoLocationIdentifier Warnervale_Airport Mwanza_Airport location Primorsky Mwanza_Airport operatingOrganisation Sega Mwanza_Airport runwayLength 0004319 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
201,2_Pallas epoch 31_July_2016_(JD2457600.5) 2_Pallas periapsis 1249.6  ,2_Pallas epoch 31_July_2016_(JD2457600.5) 2_Pallas periapsis 1249.6 ,,(X (X) (X)),sibling,1,2
202,University_of_Poitiers campus Veilly University_of_Poitiers numberOfDoctoralStudents 1512 University_of_Poitiers numberOfStudents 17000 University_of_Poitiers numberOfUndergraduateStudents 282838.0 University_of_Poitiers staff 1604.0  ,University_of_Poitiers campus Veilly University_of_Poitiers numberOfDoctoralStudents 1512 University_of_Poitiers numberOfStudents 17000 University_of_Poitiers numberOfUndergraduateStudents 282838.0 University_of_Poitiers staff 1604.0 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
203,Basanti_Devi_College campus Bangalore_–_560090 Basanti_Devi_College city Los_Angeles  ,Basanti_Devi_College campus Bangalore_–_560090 Basanti_Devi_College city Los_Angeles ,,(X (X) (X)),sibling,1,2
204,Holger_Apfel birthPlace Brazil Holger_Apfel deathPlace Brazil Brazil ethnicGroup Azerbaijanis_in_Germany Holger_Apfel spouse Alliance_Films_Corporation  ,Holger_Apfel birthPlace Brazil Holger_Apfel deathPlace Brazil Brazil ethnicGroup Azerbaijanis_in_Germany Holger_Apfel spouse Alliance_Films_Corporation ,,(X (X) (X (X)) (X (X))),mixed,1,4
205,AF-borgen address 20_Fenchurch_Street AF-borgen architect A._P._J._Abdul_Kalam AF-borgen buildingStartDate 1929-06-11 De_La_Salle_University_School_of_Economics country Spain AF-borgen currentTenants De_La_Salle_University_School_of_Economics AF-borgen location California AF-borgen owner University_of_Milan  ,AF-borgen address 20_Fenchurch_Street AF-borgen architect A._P._J._Abdul_Kalam AF-borgen buildingStartDate 1929-06-11 De_La_Salle_University_School_of_Economics country Spain AF-borgen currentTenants De_La_Salle_University_School_of_Economics AF-borgen location California AF-borgen owner University_of_Milan ,,(X (X) (X) (X) (X) (X) (X (X))),mixed,1,7
206,Gossip_Girl genre jazz_rap  ,Gossip_Girl genre jazz_rap ,,(X (X)),,1,1
207,Mermaid_(Train_song) format audio_streaming  ,Mermaid_(Train_song) format audio_streaming ,,(X (X)),,1,1
208,Yellowknife country Brazil  ,Yellowknife country Brazil ,,(X (X)),,1,1
209,Pier_Paolo_Pasolini birthDate 2006-09-06  ,Pier_Paolo_Pasolini birthDate 2006-09-06 ,,(X (X)),,1,1
210,306_Unitas apoapsis 89.0 306_Unitas discovered 1934-01-01 306_Unitas discoverer Philip_the_Arab 306_Unitas orbitalPeriod 3.16  ,306_Unitas apoapsis 89.0 306_Unitas discovered 1934-01-01 306_Unitas discoverer Philip_the_Arab 306_Unitas orbitalPeriod 3.16 ,,(X (X) (X) (X) (X)),sibling,1,4
211,François_Mitterrand birthPlace Bydgoszcz François_Mitterrand height 94.0 Bydgoszcz timeZone Greenwich_Mean_Time Bydgoszcz timeZone UTC−00:44  ,François_Mitterrand birthPlace Bydgoszcz François_Mitterrand height 94.0 Bydgoszcz timeZone Greenwich_Mean_Time Bydgoszcz timeZone UTC−00:44 ,,(X (X) (X (X) (X))),mixed,1,4
212,Laura_Berg almaMater University_of_Cologne Laura_Berg knownFor Stochastic_programming Laura_Berg residence New_Hampshire  ,Laura_Berg almaMater University_of_Cologne Laura_Berg knownFor Stochastic_programming Laura_Berg residence New_Hampshire ,,(X (X) (X) (X)),sibling,1,3
213,Barking_and_Dagenham_College affiliation University_of_Transkei Barking_and_Dagenham_College city Research-Intensive_Clusters Barking_and_Dagenham_College sportsOffered Kurash  ,Barking_and_Dagenham_College affiliation University_of_Transkei Barking_and_Dagenham_College city Research-Intensive_Clusters Barking_and_Dagenham_College sportsOffered Kurash ,,(X (X) (X) (X)),sibling,1,3
214,Democratic_Republic_of_Georgia foundingDate 2006-09-06  ,Democratic_Republic_of_Georgia foundingDate 2006-09-06 ,,(X (X)),,1,1
215,Vodafone city Stevenson  ,Vodafone city Stevenson ,,(X (X)),,1,1
216,Mermaid_(Train_song) recordLabel AXR_Music_Oy Mermaid_(Train_song) writer Plato  ,Mermaid_(Train_song) recordLabel AXR_Music_Oy Mermaid_(Train_song) writer Plato ,,(X (X) (X)),sibling,1,2
217,Sergei_Nikolayevich_Tereschenko birthDate 1908-05-02 Sergei_Nikolayevich_Tereschenko club SV_Werder_Bremen Sergei_Nikolayevich_Tereschenko currentclub Crown_Alexandra_F.C. SV_Werder_Bremen ground Degtyarsk Sergei_Nikolayevich_Tereschenko youthclub Sittingbourne_Community_F.C.  ,Sergei_Nikolayevich_Tereschenko birthDate 1908-05-02 Sergei_Nikolayevich_Tereschenko club SV_Werder_Bremen Sergei_Nikolayevich_Tereschenko currentclub Crown_Alexandra_F.C. SV_Werder_Bremen ground Degtyarsk Sergei_Nikolayevich_Tereschenko youthclub Sittingbourne_Community_F.C. ,,(X (X) (X) (X) (X (X))),mixed,1,5
218,Ninstints populationDensity 610.0 Ninstints populationMetro 1604.0  ,Ninstints populationDensity 610.0 Ninstints populationMetro 1604.0 ,,(X (X) (X)),sibling,1,2
219,Konin areaTotal 418476000000.0  ,Konin areaTotal 418476000000.0 ,,(X (X)),,1,1
220,Les_Chansons_en_or cinematography Erik_Kynard Les_Chansons_en_or starring Isaac_Newton  ,Les_Chansons_en_or cinematography Erik_Kynard Les_Chansons_en_or starring Isaac_Newton ,,(X (X) (X)),sibling,1,2
221,Yemeni_League champions Phoenix_Sports_F.C. Trafford_F.C. ground KLFA_Stadium Trafford_F.C. league Yemeni_League Trafford_F.C. numberOfMembers 418476000000.0  ,Yemeni_League champions Phoenix_Sports_F.C. Trafford_F.C. ground KLFA_Stadium Trafford_F.C. league Yemeni_League Trafford_F.C. numberOfMembers 418476000000.0 ,,(X (X) (X) (X (X))),mixed,1,4
222,Gail_Williams birthPlace Israel Gail_Williams spouse Daniele_Crespi Gail_Williams successor Johann_Jakob_Kaup  ,Gail_Williams birthPlace Israel Gail_Williams spouse Daniele_Crespi Gail_Williams successor Johann_Jakob_Kaup ,,(X (X) (X) (X)),sibling,1,3
223,Nicolas_Maurice-Belay birthDate 2001-10-16 Nicolas_Maurice-Belay birthPlace Ilkeston_F.C. Nicolas_Maurice-Belay birthPlace Icelandic_Commonwealth Nicolas_Maurice-Belay deathDate 2009-06-01  ,Nicolas_Maurice-Belay birthDate 2001-10-16 Nicolas_Maurice-Belay birthPlace Ilkeston_F.C. Nicolas_Maurice-Belay birthPlace Icelandic_Commonwealth Nicolas_Maurice-Belay deathDate 2009-06-01 ,,(X (X) (X) (X) (X)),sibling,1,4
224,Golden_Roof address 11_Diagonal_Street Golden_Roof architect Winifred_Asprey Golden_Roof buildingStartDate 1989-02-24 Golden_Roof completionDate 2001-01-01 Golden_Roof currentTenants MIT_Sloan_School_of_Management Golden_Roof location New_Hampshire  ,Golden_Roof address 11_Diagonal_Street Golden_Roof architect Winifred_Asprey Golden_Roof buildingStartDate 1989-02-24 Golden_Roof completionDate 2001-01-01 Golden_Roof currentTenants MIT_Sloan_School_of_Management Golden_Roof location New_Hampshire ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
225,Knight_Moves editing Henry_P._Alexander Knight_Moves musicComposer Klavdiya_Tochonova Knight_Moves releaseDate 1886-01-01 Knight_Moves runtime 3.16  ,Knight_Moves editing Henry_P._Alexander Knight_Moves musicComposer Klavdiya_Tochonova Knight_Moves releaseDate 1886-01-01 Knight_Moves runtime 3.16 ,,(X (X) (X) (X) (X)),sibling,1,4
226,Charles_Maurras birthDate 2009-06-01 Charles_Maurras citizenship Mexico Charles_Maurras nationality Seattleites Charles_Maurras residence Kharkiv  ,Charles_Maurras birthDate 2009-06-01 Charles_Maurras citizenship Mexico Charles_Maurras nationality Seattleites Charles_Maurras residence Kharkiv ,,(X (X) (X) (X) (X)),sibling,1,4
227,Constantim isPartOf Jalisco Jalisco leader Decius Constantim leaderTitle Oberpräsident  ,Constantim isPartOf Jalisco Jalisco leader Decius Constantim leaderTitle Oberpräsident ,,(X (X) (X (X))),mixed,1,3
228,Jeon_Woo_Chi releaseDate 1908-05-02  ,Jeon_Woo_Chi releaseDate 1908-05-02 ,,(X (X)),,1,1
229,Paro_Airport cityServed Greenville-Pickens_Speedway Paro_Airport location Sahmui-ye_Shomali Paro_Airport operatingOrganisation Funke_Mediengruppe Paro_Airport runwayLength 83.0  ,Paro_Airport cityServed Greenville-Pickens_Speedway Paro_Airport location Sahmui-ye_Shomali Paro_Airport operatingOrganisation Funke_Mediengruppe Paro_Airport runwayLength 83.0 ,,(X (X) (X) (X) (X)),sibling,1,4
230,Nav_Canada city Calzada_de_Valdunciel Carriel_Sur_International_Airport operatingOrganisation Nav_Canada Carriel_Sur_International_Airport runwayLength 16800  ,Nav_Canada city Calzada_de_Valdunciel Carriel_Sur_International_Airport operatingOrganisation Nav_Canada Carriel_Sur_International_Airport runwayLength 16800 ,,(X (X) (X (X))),mixed,1,3
231,Moffat_County hasToItsSouthwest Allegany_County Kouros_head location Moffat_County  ,Moffat_County hasToItsSouthwest Allegany_County Kouros_head location Moffat_County ,,(X (X (X))),chain,1,2
232,Deathdream author Ludwig_van_Beethoven Deathdream followedBy Don_Quixote The_End:_Hitler's_Germany_1944–45 literaryGenre fantasy_film The_End:_Hitler's_Germany_1944–45 literaryGenre dark_fantasy Deathdream precededBy The_End:_Hitler's_Germany_1944–45  ,Deathdream author Ludwig_van_Beethoven Deathdream followedBy Don_Quixote The_End:_Hitler's_Germany_1944–45 literaryGenre fantasy_film The_End:_Hitler's_Germany_1944–45 literaryGenre dark_fantasy Deathdream precededBy The_End:_Hitler's_Germany_1944–45 ,,(X (X) (X) (X (X) (X))),mixed,1,5
233,"Barking_and_Dagenham_College academicStaffSize ""''Alvinegro"" Barking_and_Dagenham_College affiliation Zhejiang_Chinese_Medical_University Barking_and_Dagenham_College campus Dijon Zhejiang_Chinese_Medical_University city Postojna Barking_and_Dagenham_College director Stacy_Katzman German_Central_Bone_Marrow_Donor_Register location Kolkata Barking_and_Dagenham_College wasGivenTheTechnicalCampusStatusBy German_Central_Bone_Marrow_Donor_Register  ","Barking_and_Dagenham_College academicStaffSize ""''Alvinegro"" Barking_and_Dagenham_College affiliation Zhejiang_Chinese_Medical_University Barking_and_Dagenham_College campus Dijon Zhejiang_Chinese_Medical_University city Postojna Barking_and_Dagenham_College director Stacy_Katzman German_Central_Bone_Marrow_Donor_Register location Kolkata Barking_and_Dagenham_College wasGivenTheTechnicalCampusStatusBy German_Central_Bone_Marrow_Donor_Register ",,(X (X) (X) (X) (X (X)) (X (X))),mixed,1,7
